Manufacturer/Name,Gun Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BODY,1,1,1,Part_AR_JAK_Body,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,TRIGGER,1,1,0.25,Part_AR_JAK_Trigger_01,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,TRIGGER,1,1,1,Part_AR_JAK_Trigger_02,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,TRIGGER,1,1,1,Part_AR_JAK_Trigger_03,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL,1,1,1,Part_AR_JAK_Barrel_01,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL,1,1,1,Part_AR_JAK_Barrel_02,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL,1,1,1,Part_AR_JAK_Barrel_03,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL,1,1,3,Part_AR_JAK_Barrel_04,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_01_A,,"Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_01_B,,"Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_01_C,,"Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_02_A,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_03, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_02_B,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_03, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_02_C,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_03, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_03_A,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_03_B,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_03_C,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_04"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_04_A,,"Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_04_B,,"Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_JAK_Barrel_04_C,,"Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BOLT,1,1,1,Part_AR_JAK_Bolt_01,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BOLT,1,1,1,Part_AR_JAK_Bolt_02,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,BOLT,1,1,1,Part_AR_JAK_Bolt_03,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_01,,Part_AR_JAK_Barrel_04
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_02,,Part_AR_JAK_Barrel_04
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_03,,Part_AR_JAK_Barrel_04
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_04,,Part_AR_JAK_Barrel_04
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_Xbow_04,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_Xbow_01,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_Xbow_02,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MAGAZINE,1,1,1,Part_AR_JAK_Mag_Xbow_03,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,FOREGRIP,1,1,1,Part_AR_JAK_Foregrip_01,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,FOREGRIP,1,1,1,Part_AR_JAK_Foregrip_02,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,FOREGRIP,1,1,1,Part_AR_JAK_Foregrip_03,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,FOREGRIP,1,1,1,Part_AR_JAK_Foregrip_04,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK,1,1,1,Part_AR_JAK_Stock_01,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK,1,1,1,Part_AR_JAK_Stock_02,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK,1,1,1,Part_AR_JAK_Stock_03,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK,1,1,1,Part_AR_JAK_Stock_04,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK,1,1,1,Part_AR_JAK_Stock_05,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK ACCESSORY,1,1,3,None,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK ACCESSORY,1,1,1,Part_AR_JAK_StockMod_01,Part_AR_JAK_Stock_01,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK ACCESSORY,1,1,1,Part_AR_JAK_StockMod_02,Part_AR_JAK_Stock_02,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK ACCESSORY,1,1,1,Part_AR_JAK_StockMod_03,Part_AR_JAK_Stock_03,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK ACCESSORY,1,1,1,Part_AR_JAK_StockMod_04,Part_AR_JAK_Stock_04,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,STOCK ACCESSORY,1,1,1,Part_AR_JAK_StockMod_05,Part_AR_JAK_Stock_05,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,SCOPE,1,1,4,None,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,SCOPE,1,1,1,Part_AR_JAK_Scope_01,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,SCOPE,1,1,1,Part_AR_JAK_Scope_02,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,SCOPE,1,1,1,Part_AR_JAK_Scope_03,,
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,PINCUSHION,1,1,1,Part_JAK_AR_PincushionType_01,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,PINCUSHION,1,1,0.6,Part_JAK_AR_PincushionType_02,,"Part_AR_JAK_Barrel_01, Part_AR_JAK_Barrel_02, Part_AR_JAK_Barrel_03"
Blackpowder,ARs,01/Common,Balance_AR_JAK_01_Common,MATERIAL,1,1,1,Part_AR_JAK_Material_01_Common,,
Blackpowder,ARs,02/Uncommon,Balance_AR_JAK_02_UnCommon,BODY,1,1,1,Part_AR_JAK_Body,,
Blackpowder,ARs,02/Uncommon,Balance_AR_JAK_02_UnCommon,TRIGGER,1,1,1,Part_AR_JAK_Trigger_01,,
