Type/Name,Melee Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Generic,Axe,01/Common,Balance_M_Axe_01_Common,BLADE,1,1,1,Part_M_Axe_Blade_01,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,BLADE,1,1,1,Part_M_Axe_Blade_02,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,BLADE,1,1,1,Part_M_Axe_Blade_03,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,ELEMENTAL,1,1,1,Part_Axe_Ele_None,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,HILT,1,1,1,Part_M_Axe_Hilt_01,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,HILT,1,1,1,Part_M_Axe_Hilt_02,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,HILT,1,1,1,Part_M_Axe_Hilt_03,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,HILT MOD,1,1,1,Part_M_Axe_HiltMod_C_01,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,HILT MOD,1,1,1,Part_M_Axe_HiltMod_C_02,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,HILT MOD,1,1,1,Part_M_Axe_HiltMod_C_03,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,RARITY,1,1,1,Part_M_Axe_01_Common,,
Generic,Axe,01/Common,Balance_M_Axe_01_Common,MATERIAL,1,1,1,Part_Axe_Material_01_Common,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE,1,1,1,Part_M_Axe_Blade_01,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE,1,1,1,Part_M_Axe_Blade_02,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE,1,1,1,Part_M_Axe_Blade_03,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,ELEMENTAL,1,1,0.1,Part_M_Axe_Ele_Cryo,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,ELEMENTAL,1,1,0.1,Part_M_Axe_Ele_Shock,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,ELEMENTAL,1,1,0.1,Part_M_Axe_Ele_Poison,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,ELEMENTAL,1,1,0.1,Part_M_Axe_Ele_Fire,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,ELEMENTAL,1,1,0.1,Part_M_Axe_Ele_Dark,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,ELEMENTAL,1,1,3,Part_Axe_Ele_None,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE MOD,0,1,1,Part_M_Axe_Blade_01_A,,"Part_M_Axe_Blade_02, Part_M_Axe_Blade_03"
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE MOD,0,1,1,Part_M_Axe_Blade_01_B,,"Part_M_Axe_Blade_02, Part_M_Axe_Blade_03"
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE MOD,0,1,1,Part_M_Axe_Blade_02_B,,"Part_M_Axe_Blade_01, Part_M_Axe_Blade_03"
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE MOD,0,1,1,Part_M_Axe_Blade_02_A,,"Part_M_Axe_Blade_01, Part_M_Axe_Blade_03"
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE MOD,0,1,1,Part_M_Axe_Blade_03_B,,"Part_M_Axe_Blade_01, Part_M_Axe_Blade_02"
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,BLADE MOD,0,1,1,Part_M_Axe_Blade_03_A,,"Part_M_Axe_Blade_01, Part_M_Axe_Blade_02"
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,HILT,1,1,1,Part_M_Axe_Hilt_01,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,HILT,1,1,1,Part_M_Axe_Hilt_02,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,HILT,1,1,1,Part_M_Axe_Hilt_03,,
Generic,Axe,02/Uncommon,Balance_M_Axe_02_Uncommon,HILT MOD,1,1,1,Part_M_Axe_HiltMod_01,,
