Type/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Generic,01/Common,Balance_S_SimpleSpell_01_Common,CAST TYPE,1,1,1,Part_SM_Cast_Simple,,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,CAST TYPE,1,1,1,Part_SM_Cast_Channel,,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,CAST TYPE,1,1,1,Part_SM_Cast_Repeat,,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,CAST TYPE,1,1,1,Part_SM_Cast_Self,,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Fireball_Simple,Part_SM_Cast_Simple,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Fireball_Channel,Part_SM_Cast_Channel,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Fireball_Repeat,Part_SM_Cast_Repeat,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Fissure_Self,Part_SM_Cast_Self,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Meteor_Simple,Part_SM_Cast_Simple,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_IceSpike_Repeat,Part_SM_Cast_Repeat,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_IceSpike_Simple,Part_SM_Cast_Simple,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_CircleOfProtection_SelfCast,Part_SM_Cast_Self,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_ElementalHawk_Channel,Part_SM_Cast_Channel,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_ElementalHawk_Simple,Part_SM_Cast_Simple,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Eruption_Simple,Part_SM_Cast_Simple,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Eruption_Channel,Part_SM_Cast_Channel,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Eruption_Repeating,Part_SM_Cast_Repeat,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_Eruption_SelfCast,Part_SM_Cast_Self,
Generic,01/Common,Balance_S_SimpleSpell_01_Common,DELIVERY,1,1,1,Part_SM_MagicMissile_Channel,Part_SM_Cast_Channel,
